In Temp/Humi: 22.41/48.71       Out Temp/Humi: 21.91/33.42      Aux Temp/Humi: 17.23/96.67      Error: 0x0000
In Temp/Humi: 22.54/48.64       Out Temp/Humi: 22.11/33.42      Aux Temp/Humi: 17.42/96.76      Error: 0x0000
In Temp/Humi: 22.65/48.59       Out Temp/Humi: 22.23/33.35      Aux Temp/Humi: 17.54/96.80      Error: 0x0000
In Temp/Humi: 22.72/48.55       Out Temp/Humi: 22.28/33.25      Aux Temp/Humi: 17.63/96.85      Error: 0x0000
In Temp/Humi: 22.80/48.51       Out Temp/Humi: 22.33/33.12      Aux Temp/Humi: 17.68/96.88      Error: 0x0000
In Temp/Humi: 22.85/48.47       Out Temp/Humi: 22.37/32.98      Aux Temp/Humi: 17.73/96.91      Error: 0x0000
In Temp/Humi: 22.89/48.44       Out Temp/Humi: 22.39/32.84      Aux Temp/Humi: 17.75/96.93      Error: 0x0000
In Temp/Humi: 22.91/48.40       Out Temp/Humi: 22.42/32.71      Aux Temp/Humi: 17.77/96.94      Error: 0x0000
In Temp/Humi: 22.95/48.36       Out Temp/Humi: 22.43/32.59      Aux Temp/Humi: 17.78/96.95      Error: 0x0000
In Temp/Humi: 22.98/48.34       Out Temp/Humi: 22.45/32.50      Aux Temp/Humi: 17.78/96.96      Error: 0x0000
In Temp/Humi: 23.00/48.31       Out Temp/Humi: 22.47/32.43      Aux Temp/Humi: 17.78/96.96      Error: 0x0000
In Temp/Humi: 23.01/48.28       Out Temp/Humi: 22.48/32.39      Aux Temp/Humi: 17.77/96.96      Error: 0x0000
In Temp/Humi: 23.03/48.25       Out Temp/Humi: 22.49/32.37      Aux Temp/Humi: 17.76/96.97      Error: 0x0000
In Temp/Humi: 23.04/48.23       Out Temp/Humi: 22.50/32.37      Aux Temp/Humi: 17.76/96.97      Error: 0x0000
In Temp/Humi: 23.05/48.21       Out Temp/Humi: 22.51/32.38      Aux Temp/Humi: 17.75/96.98      Error: 0x0000
In Temp/Humi: 23.06/48.19       Out Temp/Humi: 22.52/32.42      Aux Temp/Humi: 17.75/96.98      Error: 0x0000
In Temp/Humi: 23.07/48.17       Out Temp/Humi: 22.52/32.48      Aux Temp/Humi: 17.74/96.99      Error: 0x0000
In Temp/Humi: 23.07/48.15       Out Temp/Humi: 22.52/32.56      Aux Temp/Humi: 17.73/97.00      Error: 0x0000
In Temp/Humi: 23.08/48.13       Out Temp/Humi: 22.53/32.66      Aux Temp/Humi: 17.72/97.00      Error: 0x0000
In Temp/Humi: 23.09/48.12       Out Temp/Humi: 22.53/32.78      Aux Temp/Humi: 17.71/97.01      Error: 0x0000
In Temp/Humi: 23.09/48.11       Out Temp/Humi: 22.54/32.93      Aux Temp/Humi: 17.70/97.01      Error: 0x0000
In Temp/Humi: 23.09/48.10       Out Temp/Humi: 22.55/33.10      Aux Temp/Humi: 17.68/97.00      Error: 0x0000
In Temp/Humi: 23.10/48.09       Out Temp/Humi: 22.55/33.31      Aux Temp/Humi: 17.67/97.00      Error: 0x0000
In Temp/Humi: 23.10/48.07       Out Temp/Humi: 22.56/33.56      Aux Temp/Humi: 17.66/97.00      Error: 0x0000
In Temp/Humi: 23.11/48.06       Out Temp/Humi: 22.56/33.84      Aux Temp/Humi: 17.65/97.00      Error: 0x0000
In Temp/Humi: 23.11/48.05       Out Temp/Humi: 22.56/34.17      Aux Temp/Humi: 17.63/97.01      Error: 0x0000
In Temp/Humi: 23.11/48.04       Out Temp/Humi: 22.57/34.54      Aux Temp/Humi: 17.61/97.01      Error: 0x0000
In Temp/Humi: 23.12/48.03       Out Temp/Humi: 22.57/34.94      Aux Temp/Humi: 17.59/97.02      Error: 0x0000
In Temp/Humi: 23.13/48.02       Out Temp/Humi: 22.58/35.36      Aux Temp/Humi: 17.57/97.02      Error: 0x0000
In Temp/Humi: 23.13/48.01       Out Temp/Humi: 22.58/35.81      Aux Temp/Humi: 17.55/97.02      Error: 0x0000
In Temp/Humi: 23.13/48.01       Out Temp/Humi: 22.58/36.28      Aux Temp/Humi: 17.53/97.02      Error: 0x0000
In Temp/Humi: 23.13/48.00       Out Temp/Humi: 22.58/36.73      Aux Temp/Humi: 17.51/97.03      Error: 0x0000
In Temp/Humi: 23.13/48.00       Out Temp/Humi: 22.58/37.18      Aux Temp/Humi: 17.48/97.03      Error: 0x0000
In Temp/Humi: 23.14/47.99       Out Temp/Humi: 22.58/37.63      Aux Temp/Humi: 17.46/97.04      Error: 0x0000
In Temp/Humi: 23.14/47.98       Out Temp/Humi: 22.59/38.08      Aux Temp/Humi: 17.43/97.04      Error: 0x0000
In Temp/Humi: 23.14/47.98       Out Temp/Humi: 22.59/38.53      Aux Temp/Humi: 17.40/97.04      Error: 0x0000
In Temp/Humi: 23.14/47.97       Out Temp/Humi: 22.60/38.96      Aux Temp/Humi: 17.37/97.04      Error: 0x0000
In Temp/Humi: 23.14/47.97       Out Temp/Humi: 22.60/39.38      Aux Temp/Humi: 17.34/97.05      Error: 0x0000
In Temp/Humi: 23.14/47.96       Out Temp/Humi: 22.60/39.77      Aux Temp/Humi: 17.31/97.05      Error: 0x0000
In Temp/Humi: 23.14/47.96       Out Temp/Humi: 22.60/40.16      Aux Temp/Humi: 17.28/97.05      Error: 0x0000
In Temp/Humi: 23.15/47.95       Out Temp/Humi: 22.60/40.54      Aux Temp/Humi: 17.25/97.05      Error: 0x0000
In Temp/Humi: 23.15/47.96       Out Temp/Humi: 22.60/40.91      Aux Temp/Humi: 17.21/97.06      Error: 0x0000
In Temp/Humi: 23.15/47.96       Out Temp/Humi: 22.61/41.27      Aux Temp/Humi: 17.18/97.06      Error: 0x0000
In Temp/Humi: 23.15/47.95       Out Temp/Humi: 22.61/41.62      Aux Temp/Humi: 17.14/97.06      Error: 0x0000
In Temp/Humi: 23.15/47.95       Out Temp/Humi: 22.61/41.95      Aux Temp/Humi: 17.10/97.07      Error: 0x0000
In Temp/Humi: 23.15/47.95       Out Temp/Humi: 22.61/42.26      Aux Temp/Humi: 17.07/97.07      Error: 0x0000
In Temp/Humi: 23.15/47.95       Out Temp/Humi: 22.61/42.56      Aux Temp/Humi: 17.03/97.07      Error: 0x0000
In Temp/Humi: 23.15/47.95       Out Temp/Humi: 22.62/42.86      Aux Temp/Humi: 16.99/97.08      Error: 0x0000
